Enum,EN,KA,hy,ru,az,BG,RO
VotingWithoutVoterIdentificationSafeguardMeasures,Voting without voter identification safeguard measures,გაკეთების გარეშე ხმის მიცემა,Քվեարկություն առանց մարկերավորման ,Голосование без маркировки,İşarlənmədən keçmədən səs vermək,Гласуване без да са спазени предвидените предпазни мерки за идентификация на избирателя,Votare fără măsuri de siguranță pentru identificarea alegătorilor
BreachOfSecrecyOfVote,Breach of secrecy of vote,კენჭისყრის ფარულობის დარღვევა,Քվեարկության գաղտնիության խախտում,Нарушение тайны голосования,Səsvermənin gizliliyinin pozulması,Нарушаване на тайната на вота,Încălcarea secretului votului
ViolationsRelatedToMobileBallotBox,Violations related to the mobile ballot box,გადასატანი საარჩევნო ყუთთან დაკავშირებული დარღვევები,Շարժական քվեատուփի հետ կապված խախտումներ,"Нарушения, связанные с переносным избирательным ящиком",Daşınan seçki qutusu ilə əlaqədar pozuntular,"Нарушения, свързани с подвижната избирателна урна",Încălcări legate de urna mobilă
NumberOfBallotsExceedsNumberOfVoters,Number of ballots exceed the number of voters,ბიულეტენების რაოდენობა მეტია მოსულ ამომრჩეველთა რაოდენობაზე,Քվեաթերթիկների թիվը գերազանցում է ներկայացած ընտրողների թվին,"Количество бюллетеней больше числа избирателей, пришедших на участок",Bülletenlərin sayı gələn seçicilərin sayından çoxdur,Броят на подадените бюлетини надвишава този на избирателите ,Numărul buletinelor de vot depășește numărul de alegători
ImproperInvalidationOrValidationOfBallots,Improper invalidation/validation of ballots,ბიულეტენის ბათილობა/ნამდვილობის არასწორად გადაწყვეტა,Քվեաթերթիկի վավերականության/անվավերության սխալ որոշում,Неверное признание недействительности/ действительности бюллетеней,Bülletenin etibarsız olması/həqiqiliyinə səhv qərar verilməsi,Неправилно определяне на бюлетините за недействителни/действителни,Invalidarea/validarea necorespunzătoare a buletinelor de vot
FalsificationOrImproperCorrectionOfFinalProtocol,Falsification/improper correction of the final protocol,შემაჯამებელი ოქმის გადაკეთება/გაყალბება,Ամփոփիչ արձանագրության վերափոխում/կեղծում,Исправление/ фальсификация итогового протокола,Yekun protokolun dəyişdirilməsi/saxtalaşdırılması,Фалшифициране/неправомерна корекция на окончателния протокол,Falsificarea/corectarea necorespunzătoare a procesului-verbal final
RefusalToIssueCopyOfFinalProtocolOrIssuingImproperCopy,Refusal to issue a copy of the final protocol/issuing an improper copy,შემაჯამებელი ოქმის ასლის გაუცემლობა/არასრულყოფილი ასლის გაცემა (მონაცემი აკლია),Ամփոփիչ արձանագրության պատճենի չտրամադրում/թերի պատճենի տրամադրում (որոշ տվյալներ բացակայում են),Отказ в выдаче копии итогового протокола/ выдача ненадлежащей копии (отсутствие данных),Yekun protokolun surətinin verilməməsi/natamam surətin verilməsi (Məlumat çatmır),Отказ за издаване на копие от окончателния протокол/издаване на несъответстващо копие,Refuzul de a elibera o copie a procesului-verbal final/eliberarea unei copii necorespunzătoare
ImproperFillingInOfFinalProtocol,Improper filling in of the final protocol,შემაჯამებელი ოქმის არასათანადოდ შევსება,Ամփոփիչ արձանագրության ոչ պատշաճ լրացում,Ненадлежащее заполнение итогового протокола,Yekun protokolun qeyri-müvafiq doldurulması,Некоректно попълване на окончателния протокол,Completarea necorespunzătoare a procesului-verbal final
ViolationOfSealingProceduresOfElectionMaterials,Violation of the sealing procedures of the election materials,საარჩევნო მასალის დალუქვის წესის დარღვევა,Ընտրական նյութերի դրոշմակնքման կարգի խախտում,Нарушение порядка опечатывания избирательных материалов,Seçki materialının surğuclanma qaydasının pozulması,Нарушаване на процедурите за запечатване на изборните материали,
ViolationsRelatedToVoterLists,Violations related to the voter lists,ამომრჩეველთა სიასთან დაკავშირებული დარღვევები,Ընտրացուցակի հետ կապված խախտումներ,"Нарушения, связанные со списками избирателей",Seçicilər siyahısı ilə əlaqədar pozuntular,"Нарушения, свързани с избирателните списъци",Încălcări legate de listele electorale
Other,Other,სხვა,Այլ ,Другое,Başqa,Други,Altele
