Key,en,de 
citizen_report_issue.info_modal.p2,"After data analysis, some reports submitted through the app may be included in election observation reports prepared by organizations partnered with Code for Romania/Commit Global. Aggregated and anonymized data may also be used for statistical purposes.","Nach der Datenanalyse können einige über die App eingereichte Berichte in Wahlbeobachtungsberichten aufgenommen werden, die von mit Code for Romania/Commit Global kooperierenden Organisationen erstellt werden. Aggregierte und anonymisierte Daten können außerdem zu statistischen Zwecken verwendet werden."
citizen_report_issue.info_modal.p3,"In certain cases, your reports may be shared with authorities responsible for organizing elections to help improve future electoral processes, though this is not guaranteed.","In bestimmten Fällen können deine Berichte an die für die Organisation von Wahlen zuständigen Behörden weitergegeben werden, um zukünftige Wahlprozesse zu verbessern; dies ist jedoch nicht garantiert."
citizen_report_issue.info_modal.p4,You have full control over your personal data. Reporting forms allow you to choose whether to report anonymously or consent to being contacted by an organization should your report be reviewed.,"Du hast die volle Kontrolle über deine personenbezogenen Daten. In den Meldeformularen kannst du wählen, ob du anonym berichten oder der Kontaktaufnahme durch eine Organisation zustimmen möchtest, falls dein Bericht geprüft wird."
citizen_report_issue.info_modal.ok,OK,OK
citizen_form.review.heading,Review your report,Bericht überprüfen
citizen_form.review.send,Send report,Bericht senden
citizen_form.review.sending_report,We're sending your report. Please wait...,Dein Bericht wird gesendet. Bitte warten…
citizen_form.progress_bar_label,Form progress,Formularfortschritt
citizen_form.success.title,Your report has been successfuly sent!,Dein Bericht wurde erfolgreich gesendet!
citizen_form.success.description,"Thank you for your civic involvement. You have the option to send a copy of your responses to your email, or you can return to the main page.","Vielen Dank für dein zivilgesellschaftliches Engagement. Du hast die Möglichkeit, dir eine Kopie deiner Antworten per E-Mail senden zu lassen oder zur Hauptseite zurückzukehren."
citizen_form.success.back_to_main,Back to the main page,Zurück zur Hauptseite
citizen_form.success.send_copy,Send me a copy,Mir eine Kopie senden
citizen_form.error,There was a problem while sending your review.,Beim Senden deines Berichts ist ein Problem aufgetreten.
citizen_form.email_copy.title,Enter your email to receive a form copy,"E-Mail-Adresse eingeben, um eine Kopie des Formulars zu erhalten"
citizen_form.email_copy.description,"To receive a copy of your form, please enter your email address below. This email address will be used only to send you the copy and will not be stored or used for any other purpose.","Um eine Kopie deines Formulars zu erhalten, gib bitte unten deine E-Mail-Adresse ein. Diese E-Mail-Adresse wird ausschließlich zum Versand der Kopie verwendet und nicht gespeichert oder für andere Zwecke genutzt."
citizen_form.email_copy.placeholder,Enter your email,E-Mail-Adresse eingeben
citizen_form.email_copy.required,The email is mandatory,Die E-Mail-Adresse ist erforderlich
citizen_form.email_copy.invalid,The email format is not valid,Das E-Mail-Format ist ungültig
citizen_form.email_copy.cancel,Cancel,Abbrechen
citizen_form.email_copy.send,Send,Senden
citizen_form.copy_sent.title,Your copy has been sent,Deine Kopie wurde gesendet
citizen_form.copy_sent.description,"Your copy should arrive instantly, but in rare occasions it may take a few minutes to process. You can return to the main page in the meantime.","Deine Kopie sollte sofort ankommen, in seltenen Fällen kann die Verarbeitung jedoch einige Minuten dauern. Du kannst in der Zwischenzeit zur Hauptseite zurückkehren."
citizen_form.unsaved_changes_dialog.title,You have unsaved changes,Du hast ungespeicherte Änderungen
citizen_form.unsaved_changes_dialog.description,Leaving this page will cause all your progress on the form to be lost. Are you sure you wish to go back?,"Wenn du diese Seite verlässt, gehen alle bisherigen Eingaben im Formular verloren. Möchtest du wirklich zurückgehen?"
citizen_form.unsaved_changes_dialog.actions.discard,Go back,Zurückgehen
citizen_form.unsaved_changes_dialog.actions.save,Stay here,Hier bleiben
citizen_form.attachments.heading,Uploaded media,Hochgeladene Medien
citizen_form.attachments.loading,Adding attachment... ,Anhang wird hinzugefügt…
citizen_form.attachments.error,Error while sending the attachment!,Fehler beim Senden des Anhangs!
citizen_form.attachments.add,Add media files,Mediendateien hinzufügen
citizen_form.attachments.menu.load,Load from gallery,Aus Galerie laden
citizen_form.attachments.menu.take_picture,Take a photo,Foto aufnehmen
citizen_form.attachments.menu.record_video,Record a video,Video aufnehmen
citizen_form.attachments.menu.upload_audio,Upload audio file,Audiodatei hochladen
citizen_form.attachments.upload.compressing,Compressing attachment: ,Anhang wird komprimiert:
citizen_form.attachments.upload.preparing,Preparing attachment...,Anhang wird vorbereitet…
citizen_form.attachments.upload.starting,Starting the upload...,Upload wird gestartet…
citizen_form.attachments.upload.progress,Uploading attachments: ,Anhänge werden hochgeladen:
citizen_form.attachments.upload.completed,Upload completed.,Upload abgeschlossen.
citizen_form.attachments.upload.aborted,Upload aborted.,Upload abgebrochen.
citizen_form.attachments.upload.offline,You need an internet connection in order to perform this action.,Für diese Aktion ist eine Internetverbindung erforderlich.
citizen_form.attachments.delete.title,Delete media file,Mediendatei löschen
citizen_form.attachments.delete.description,"This action cannot be undone. Once deleted, a media file cannot be retrieved.",Diese Aktion kann nicht rückgängig gemacht werden. Nach dem Löschen kann eine Mediendatei nicht wiederhergestellt werden.
citizen_form.attachments.delete.actions.cancel,Cancel,Abbrechen
citizen_form.attachments.delete.actions.clear,Delete,Löschen
login.disclaimer.paragraph1,"Vote Monitor Observer can only be used by independent observers, accredited by an organisation which monitors election processes. An invitation email from your organisation is needed, with instructions to set up an account.","Vote Monitor Observer kann nur von unabhängigen Beobachter*innen genutzt werden, die von einer Organisation akkreditiert sind, welche Wahlprozesse überwacht. Eine Einladungs-E-Mail deiner Organisation mit Anweisungen zur Kontoerstellung ist erforderlich."
login.disclaimer.paragraph2.slice1,"If you are not an accredited observer, you may still","Wenn du keine*r akkreditierte*r Beobachter*in bist, kannst du dennoch"
login.disclaimer.paragraph2.link,report irregularities as a citizen,Unregelmäßigkeiten als Bürger*in melden
login.disclaimer.paragraph2.slice2,"for an ongoing election event, without needing an account.","für ein laufendes Wahlereignis, ohne ein Konto zu benötigen."
login.heading,Log in,Anmelden
login.paragraph,Please use the email address with which you registered as an independent observer:,"Bitte verwende die E-Mail-Adresse, mit der du dich als unabhängige*r Beobachter*in registriert hast:"
login.form.email.label,E-mail *,E-Mail *
login.form.email.placeholder,E-mail,E-Mail
login.form.email.required,E-mail is mandatory,E-Mail ist erforderlich
login.form.email.pattern,E-mail format is not valid,Das E-Mail-Format ist ungültig
login.form.password.label,Password *,Passwort *
login.form.password.placeholder,Password,Passwort
login.form.password.required,Password is mandatory,Passwort ist erforderlich
login.form.submit.save,Log in,Anmelden
login.form.submit.loading,Log in...,Anmelden…
login.form.errors.invalid_credentials,There was an error with your credentials. Please try again.,Bei deinen Zugangsdaten ist ein Fehler aufgetreten. Bitte versuche es erneut.
login.form.errors.offline,You need an internet connection in order to log in.,Zum Anmelden ist eine Internetverbindung erforderlich.
login.actions.forgot_password,Forgot your password?,Passwort vergessen?
login.email_toast,Email address was copied to clipboard,E-Mail-Adresse wurde in die Zwischenablage kopiert
forgot_password.header.title,Forgot password,Passwort vergessen
forgot_password.heading,Forgot your password?,Passwort vergessen?
forgot_password.paragraph,Please enter the email address associated with your account and we’ll send you a link to reset your password.,Bitte gib die mit deinem Konto verknüpfte E-Mail-Adresse ein. Wir senden dir einen Link zum Zurücksetzen deines Passworts.
forgot_password.form.email.label,E-mail *,E-Mail *
forgot_password.form.email.placeholder,E-mail,E-Mail
forgot_password.form.email.required,E-mail is mandatory,E-Mail ist erforderlich
forgot_password.form.email.pattern,E-mail format is not valid,Das E-Mail-Format ist ungültig
forgot_password.form.submit.loading,Sending...,Wird gesendet…
forgot_password.form.submit.save,Send,Senden
forgot_password.form.errors.invalid_email,The current email is not registered in the system. Please try again.,Die aktuelle E-Mail-Adresse ist im System nicht registriert. Bitte versuche es erneut.
forgot_password.confirmation.heading,Email sent,E-Mail gesendet
forgot_password.confirmation.paragraph,Check your email and open the link we sent to continue. Check your spam filter if you did not receive the email.,"Überprüfe dein E-Mail-Postfach und öffne den Link, den wir dir gesendet haben, um fortzufahren. Prüfe auch deinen Spam-Ordner, falls du keine E-Mail erhalten hast."
forgot_password.confirmation.confirm,Back to login,Zurück zur Anmeldung
about_app.title,About Vote Monitor,Über Vote Monitor
about_app.title_observer,About Vote Monitor Observer,Über Vote Monitor Observer
about_app.general,Vote Monitor is a dedicated digital tool for independent observers and international organizations engaged in election monitoring. Vote Monitor is developed and managed by Code for Romania/Commit Global.,"Vote Monitor ist ein spezielles digitales Tool für unabhängige Beobachter und internationale Organisationen, die sich mit Wahlbeobachtung befassen. Vote Monitor wird von Code for Romania/Commit Global entwickelt und verwaltet."
about_app.purpose,"The app assists independent observers in monitoring polling stations and documenting the polling process in real-time for a specific election round. All data collected through the mobile app is sent in real-time to accrediting organizations to identify potential red flags that may indicate fraud or other irregularities. Ultimately, our goal is to provide a clear, simple, and realistic snapshot of the polling process proceedings.","Die App unterstützt unabhängige Beobachter dabei, Wahllokale zu beobachten und den Wahlprozess für eine bestimmte Wahlrunde in Echtzeit zu dokumentieren. Alle über die mobile App gesammelten Daten werden in Echtzeit an akkreditierte Organisationen gesendet, um potenzielle Warnsignale zu identifizieren, die auf Betrug oder andere Unregelmäßigkeiten hindeuten könnten. Letztendlich ist es unser Ziel, einen klaren, einfachen und realistischen Überblick über den Ablauf des Wahlprozesses zu bieten."
about_app.app_provides.paragraph,The app provides observers with:,Die App bietet Beobachtern:
about_app.app_provides.item1,A way to manage multiple visited polling stations,"Eine Möglichkeit, mehrere besuchte Wahllokale zu verwalten"
about_app.app_provides.item2,An efficient method to monitor the flow of the polling process through forms set up by accrediting organizations,"Eine effiziente Methode zur Beobachtung des Ablaufs des Wahlprozesses anhand von Formularen, die von akkreditierten Organisationen erstellt wurden."
about_app.app_provides.item3,A means of quickly reporting other problematic issues outside the standard forms,"Eine Möglichkeit, andere problematische Sachverhalte außerhalb der Standardformulare schnell zu melden"
about_app.usage,"The Vote Monitor App can be used during any type of election in any country worldwide. Since 2016, it has been used in multiple election rounds in Romania, Poland and Bulgaria.","Die Vote Monitor App kann bei jeder Art von Wahl in jedem Land weltweit eingesetzt werden. Seit 2016 wurde sie bereits in mehreren Wahlgängen in Rumänien, Polen und Bulgarien verwendet."
about_app.version,Vote Monitor version {{value}},Vote Monitor Version {{value}}
about_app_citizen.title,About Vote Monitor,Über Vote Monitor
about_app_citizen.title_observer,About Vote Monitor Citizen,Über Vote Monitor Citizen
about_app_citizen.p1,"Vote Monitor Citizen enables everyday citizens to actively participate in monitoring elections by reporting any irregularities they encounter during the electoral period, including campaign activities, polling station operations, and voting day procedures.","Vote Monitor Citizen ermöglicht es normalen Bürgern, sich aktiv an der Beobachtung von Wahlen zu beteiligen, indem sie Unregelmäßigkeiten melden, die ihnen während der Wahlperiode auffallen, darunter Wahlkampfaktivitäten, Abläufe in Wahllokalen und Verfahren am Wahltag."
about_app_citizen.p2,"Vote Monitor Citizen is an extension of the Vote Monitor app, which was initially developed by Code for Romania/Commit Global for independent observers working alongside NGOs in election monitoring efforts.","Vote Monitor Citizen ist eine Erweiterung der Vote Monitor-App, die ursprünglich von Code for Romania/Commit Global für unabhängige Beobachter entwickelt wurde, die gemeinsam mit NGOs bei der Wahlbeobachtung tätig sind."
about_app_citizen.p3,"Users can submit real-time reports that will be analysed by non-governmental organizations involved in the electoral process. These reports may contribute to detailed observation documents and, in some instances, could be forwarded to relevant institutions to improve future elections.","Die Nutzer können Echtzeitberichte einreichen, die von Nichtregierungsorganisationen, die am Wahlprozess beteiligt sind, analysiert werden. Diese Berichte können zu detaillierten Beobachtungsdokumenten beitragen und in einigen Fällen an relevante Institutionen weitergeleitet werden, um künftige Wahlen zu verbessern."
about_app_citizen.p4,"While citizen reports play a vital role in promoting transparency, please note that submitting a report through this app does not constitute an official complaint to the institutions responsible for organizing elections.","Bürgerberichte spielen zwar eine wichtige Rolle bei der Förderung der Transparenz; bitte beachten Sie jedoch, dass die Einreichung eines Berichts über diese App keine offizielle Beschwerde bei den für die Organisation von Wahlen zuständigen Institutionen darstellt."
about_app_citizen.version,Vote Monitor version {{value}},Vote Monitor Version {{value}}
loading_screen.heading,Loading...,Wird geladen...
loading_screen.paragraph,"We are preparing all the data, please wait!","Wir bereiten alle Daten vor, bitte warten Sie!"
tabs.observation,Observation,Beobachtung
tabs.quick_report,Report,Bericht
tabs.guides,Guides,Anleitungen
tabs.inbox,Inbox,Posteingang
tabs.more,More,Mehr
tabs.report,Report,Bericht
Leitfäden und Ressourcen Ihrer Organisation griffbereit.,Resources,Ressourcen
tabs.updates,Updates,Aktualisierungen
add_polling_station.title,Add polling station,Wahllokal hinzufügen
add_polling_station.progress.location,Add polling station from {{value}},Wahllokal von {{value}} hinzufügen
add_polling_station.actions.next_step,Next step,Nächster Schritt
add_polling_station.actions.back,Back,Zurück
add_polling_station.actions.finalize,Finalize,Abschließen
add_polling_station.error,Error while loading polling stations!,Fehler beim Laden der Wahllokale!
observation.title,Polling Station Observation,Beobachtung von Wahllokalen
observation.no_election_round.heading,No election event to observe yet,Noch keine Wahlhandlung zu beobachten
observation.no_election_round.paragraph,You will be able to use the app once you will be assigned to an election event by your organization,"Sie können die App nutzen, sobald Sie von Ihrer Organisation einer Wahl zugewiesen wurden."
observation.no_form,The Polling Station Information form is not configured,Das Formular „Informationen zum Wahllokal“ ist nicht konfiguriert.
observation.refresh_page,"If data is not visible, try refreshing the page to retrieve the most recent information","Wenn die Daten nicht angezeigt werden, aktualisieren Sie die Seite, um die neuesten Informationen abzurufen."
observation.no_visited_polling_stations.heading,No visited polling stations yet,Noch keine Wahllokale besucht
observation.no_visited_polling_stations.paragraph,Start configuring your first polling station before completing observation forms.,"Beginnen Sie mit der Konfiguration Ihres ersten Wahllokals, bevor Sie die Beobachtungsformulare ausfüllen."
observation.no_visited_polling_stations.add,Add your first polling station,Fügen Sie Ihr erstes Wahllokal hinzu
observation.my_polling_stations.heading,My polling stations,Meine Wahllokale
observation.my_polling_stations.paragraph,You can switch between polling stations if you want to revisit form answers or polling station information.,"Sie können zwischen Wahllokalen wechseln, wenn Sie Formularantworten oder Wahllokaldaten erneut aufrufen möchten."
observation.my_polling_stations.add,Add new polling station,Neues Wahllokal hinzufügen
observation.polling_stations_information.heading,Polling station information,Informationen zum Wahllokal
observation.polling_stations_information.time_select.not_defined,Not defined,Nicht definiert
observation.polling_stations_information.time_select.arrival_time,Arrival time,Ankunftszeit
observation.polling_stations_information.time_select.departure_time,Departure time,Zeitpunkt des Aufbruchs
observation.polling_stations_information.time_select.save,Done,Erledigt
observation.polling_stations_information.time_select.error.arrival_first,Please select an arrival time first.,Bitte wählen Sie zuerst eine Ankunftszeit.
observation.polling_stations_information.time_select.error.later_departure,Please select a departure time that is at a later time than the arrival.,"Bitte wählen Sie einen Zeitpunkt des Aufbruchs, der später als die Ankunftszeit liegt."
observation.polling_stations_information.time_select.error.earlier_arrival,Please select an arrival time that is at an earlier time than the departure.,"Bitte wählen Sie eine Ankunftszeit, die vor dem Zeitpunkt des Aufbruchs liegt."
observation.polling_stations_information.time_select.error.server,We couldn't send the information to the server.,Wir konnten die Informationen nicht an den Server senden.
observation.polling_stations_information.observation_time.observation_time,Observation time,Beobachtungszeit
observation.polling_stations_information.observation_time.not_defined,Not defined,Nicht definiert
observation.polling_stations_information.observation_time.no_of_breaks,{{value}} breaks,{{Wert}} Unterbrechungen
observation.polling_stations_information.observation_time.one_break,{{value}} break,{{Wert}} Unterbrechung
observation.polling_stations_information.observation_time.arrival_and_departure,Arrival and departure time,Ankunftszeit und Zeitpunkt des Aufbruchs
observation.polling_stations_information.observation_time.arrival_time,Arrival time,Ankunftszeit
observation.polling_stations_information.observation_time.departure_time,Departure time,Zeitpunkt des Aufbruchs
observation.polling_stations_information.observation_time.departure_after_arrival,The departure time must be after the arrival time,Der Zeitpunkt des Aufbruchs muss nach der Ankunftszeit liegen.
observation.polling_stations_information.observation_time.select_arrival_time,Select arrival time,Ankunftszeit auswählen
observation.polling_stations_information.observation_time.select_departure_time,Select departure time,Zeitpunkt des Aufbruchs auswählen
observation.polling_stations_information.observation_time.add_break,Add new break in observation,Neue Pause in Beobachtung hinzufügen
observation.polling_stations_information.observation_time.break,Break {{value}},Pause {{Wert}}
observation.polling_stations_information.observation_time.start_time,Start time,Startzeit
observation.polling_stations_information.observation_time.select_start_time,Select start time,Startzeit auswählen
observation.polling_stations_information.observation_time.end_time,End time,Endzeitpunkt
observation.polling_stations_information.observation_time.select_end_time,Select end time, Endzeitpunkt auswählen
observation.polling_stations_information.observation_time.undefined_date,DD/MM/YYYY,Tag/Monat/Jahr
observation.polling_stations_information.observation_time.undefined_time,HH:MM,Stunde:Minute
observation.polling_stations_information.observation_time.save,Save observation time,Beobachtungszeit speichern
observation.polling_stations_information.observation_time.clear,Clear observation time,Beobachtungszeit löschen
observation.polling_stations_information.observation_time.confirmation_modals.clear.title,Clear observation time,Beobachtungszeit löschen
observation.polling_stations_information.observation_time.confirmation_modals.clear.description,"This action will delete your arrival and departure time, including all your breaks entered so far for this polling station. To avoid unintended information loss, please ensure you check the times before performing this action.","Durch diese Aktion werden Ihre Ankunftszeit und die Zeit des Aufbruchs sowie alle bisher für dieses Wahllokal eingegebenen Pausen gelöscht. Um unbeabsichtigten Informationsverlust zu vermeiden, überprüfen Sie bitte die Zeiten, bevor Sie diese Aktion durchführen."
observation.polling_stations_information.observation_time.confirmation_modals.clear.actions.cancel,Cancel,Abbrechen
observation.polling_stations_information.observation_time.confirmation_modals.clear.actions.clear,Clear observation time,Beobachtungszeit löschen
observation.polling_stations_information.observation_time.confirmation_modals.delete.title,Delete break,Pause löschen
observation.polling_stations_information.observation_time.confirmation_modals.delete.description,"This action will delete your break. To avoid unintended information loss, please ensure you check the times before performing this action.","Durch diese Aktion wird Ihre Pause gelöscht. Um unbeabsichtigten Informationsverlust zu vermeiden, überprüfen Sie bitte die Zeiten, bevor Sie diese Aktion ausführen."
observation.polling_stations_information.observation_time.confirmation_modals.delete.actions.cancel,Cancel,Abbrechen
observation.polling_stations_information.observation_time.confirmation_modals.delete.actions.delete,Delete break,Pause löschen
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.title,Save changes to observation time,Änderungen an der Beobachtungszeit speichern
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.description,You have unsaved changes related to the observation time you entered. Do you want to save your changes before leaving the page?,"Sie haben ungespeicherte Änderungen bezüglich der von Ihnen eingegebenen Beobachtungszeit vorgenommen. Möchten Sie Ihre Änderungen speichern, bevor Sie die Seite verlassen?"
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.actions.discard,Discard,Verwerfen
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.actions.save,Save changes,Änderungen speichern
observation.polling_stations_information.observation_time.confirmation_modals.unable_to_save.title,Unable to Save Observation Time,Beobachtungszeit kann nicht gespeichert werden
observation.polling_stations_information.observation_time.confirmation_modals.unable_to_save.p1,The times you entered cannot be saved due to a conflict between the break periods and the arrival/departure times.,Die von Ihnen eingegebenen Zeiten können aufgrund eines Konflikts zwischen den Pausen und den Ankunftszeiten/Zeiten des Aufbruchs nicht gespeichert werden.
observation.polling_stations_information.observation_time.confirmation_modals.unable_to_save.p2,Please ensure that break periods do not exceed the time interval defined by the arrival and departure observation times. Please review and adjust the times accordingly.,"Bitte stellen Sie sicher, dass die Pausen nicht länger sind als die Zeit zwischen den Ankunftszeiten und den Zeiten des Aufbruchs. Bitte überprüfen Sie die Zeiten und passen Sie sie entsprechend an."
observation.polling_stations_information.observation_time.confirmation_modals.unable_to_save.ok,OK,OK
observation.polling_stations_information.polling_station_form.paragraph,Answer a few quick questions about the polling station.,Beantworten Sie ein paar kurze Fragen zum Wahllokal.
observation.polling_stations_information.polling_station_form.form_details_button_label,Polling station questions,Fragen zum Wahllokal
observation.polling_stations_information.polling_station_form.number_of_questions,{{value}} questions,{{value}} Fragen
observation.polling_stations_information.polling_station_form.answer_questions,Answer questions,Fragen beantworten
observation.forms.heading,Observation forms,Beobachtungsformulare  
observation.forms.list.empty,Observation forms will appear here once your organization will publish them in the system.,"Die Beobachtungsformulare werden hier angezeigt, sobald Ihre Organisation sie im System veröffentlicht hat."
observation.forms.list.error.paragraph1,Something went wrong!,Etwas ist schiefgelaufen!
observation.forms.list.error.paragraph2,We could not fetch the data. Press the retry button to try again!,"Die Daten konnten nicht abgerufen werden. Klicken Sie auf die Schaltfläche „Wiederholen“, um es erneut zu versuchen!"
observation.forms.list.error.retry,Retry,Wiederholen
observation.forms.select_language_modal.header,Select form language,Formularsprache auswählen
observation.forms.select_language_modal.helper,The selected form is available in multiple languages. Please select which one you would like to continue with.,"Das ausgewählte Formular ist in mehreren Sprachen verfügbar. Bitte wählen Sie die Sprache aus, in der Sie fortfahren möchten."
observation.forms.select_language_modal.error,Please select one of the options,Bitte wählen Sie eine der Optionen aus.
observation.options_menu.manage_my_polling_stations,Manage my polling stations,Meine Wahllokale verwalten
polling_station_information_form.title,Polling station information,Informationen zum Wahllokal
polling_station_information_form.submit,Submit answers,Antworten abschicken
polling_station_information_form.form.max,Input cannot exceed {{value}} characters,Die Eingabe darf {{value}} Zeichen nicht überschreiten.
polling_station_information_form.form.placeholder,Please enter a text..,Bitte einen Text eingeben.
polling_station_information_form.menu.clear,Clear form (delete all answers),Formular löschen (alle Antworten löschen)
polling_station_information_form.warning_modal.title,Clear Polling station information form,Löschen des Formulars mit Wahllokalangaben
polling_station_information_form.warning_modal.description,"This action will delete all answers entered so far for this form. To avoid unintended information loss, please ensure you check the form before performing this action.","Durch diese Aktion werden alle bisher in dieses Formular eingegebenen Antworten gelöscht. Um unbeabsichtigten Informationsverlust zu vermeiden, überprüfen Sie bitte das Formular, bevor Sie diese Aktion ausführen."
polling_station_information_form.warning_modal.actions.cancel,Cancel,abbrechen
polling_station_information_form.warning_modal.actions.clear,Clear form,Formular löschen
polling_station_information_form.unsaved_changes_dialog.title,Save changes to form,Änderungen im Formular speichern
polling_station_information_form.unsaved_changes_dialog.description,You have unsaved changes on this form. Do you want to save your changes before leaving?,Sie haben in diesem Formular ungespeicherte Änderungen vorgenommen. Möchten Sie Ihre Änderungen vor dem Verlassen speichern?
